country,date,cum_cases
Germany,2020-02-18,16
Iran,2020-02-18,0
Italy,2020-02-18,3
"Korea, South",2020-02-18,31
Spain,2020-02-18,2
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
France,2020-02-18,12
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
Germany,2020-02-19,16
Iran,2020-02-19,2
Italy,2020-02-19,3
"Korea, South",2020-02-19,31
Spain,2020-02-19,2
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
France,2020-02-19,12
France,2020-02-19,12
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
US,2020-02-19,13
France,2020-02-19,12
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
Germany,2020-02-20,16
Iran,2020-02-20,5
Italy,2020-02-20,3
"Korea, South",2020-02-20,104
Spain,2020-02-20,2
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
France,2020-02-20,12
France,2020-02-20,12
France,2020-02-20,12
US,2020-02-20,13
US,2020-02-20,13
France,2020-02-20,12
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
France,2020-02-20,12
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
France,2020-02-20,12
US,2020-02-20,13
France,2020-02-20,12
US,2020-02-20,13
US,2020-02-20,13
France,2020-02-20,12
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
US,2020-02-20,13
Germany,2020-02-21,16
Iran,2020-02-21,18
Italy,2020-02-21,20
"Korea, South",2020-02-21,204
Spain,2020-02-21,2
US,2020-02-21,13
US,2020-02-21,13
US,2020-02-21,13
US,2020-02-21,13
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
France,2020-02-21,12
France,2020-02-21,12
France,2020-02-21,12
US,2020-02-21,15
US,2020-02-21,15
France,2020-02-21,12
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
France,2020-02-21,12
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
France,2020-02-21,12
US,2020-02-21,15
France,2020-02-21,12
US,2020-02-21,15
US,2020-02-21,15
France,2020-02-21,12
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
US,2020-02-21,15
Germany,2020-02-22,16
Iran,2020-02-22,28
Italy,2020-02-22,62
"Korea, South",2020-02-22,433
Spain,2020-02-22,2
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
France,2020-02-22,12
France,2020-02-22,12
France,2020-02-22,12
US,2020-02-22,15
US,2020-02-22,15
France,2020-02-22,12
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
France,2020-02-22,12
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
France,2020-02-22,12
US,2020-02-22,15
France,2020-02-22,12
US,2020-02-22,15
US,2020-02-22,15
France,2020-02-22,12
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
US,2020-02-22,15
Germany,2020-02-23,16
Iran,2020-02-23,43
Italy,2020-02-23,155
"Korea, South",2020-02-23,602
Spain,2020-02-23,2
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
France,2020-02-23,12
France,2020-02-23,12
France,2020-02-23,12
US,2020-02-23,15
US,2020-02-23,15
France,2020-02-23,12
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
France,2020-02-23,12
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
France,2020-02-23,12
US,2020-02-23,15
France,2020-02-23,12
US,2020-02-23,15
US,2020-02-23,15
France,2020-02-23,12
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
US,2020-02-23,15
Germany,2020-02-24,16
Iran,2020-02-24,61
Italy,2020-02-24,229
"Korea, South",2020-02-24,833
Spain,2020-02-24,2
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,15
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
France,2020-02-24,12
France,2020-02-24,12
France,2020-02-24,12
US,2020-02-24,51
US,2020-02-24,51
France,2020-02-24,12
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
France,2020-02-24,12
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
France,2020-02-24,12
US,2020-02-24,51
France,2020-02-24,12
US,2020-02-24,51
US,2020-02-24,51
France,2020-02-24,12
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
US,2020-02-24,51
Germany,2020-02-25,17
Iran,2020-02-25,95
Italy,2020-02-25,322
"Korea, South",2020-02-25,977
Spain,2020-02-25,6
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
France,2020-02-25,14
France,2020-02-25,14
France,2020-02-25,14
US,2020-02-25,51
US,2020-02-25,51
France,2020-02-25,14
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
France,2020-02-25,14
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
France,2020-02-25,14
US,2020-02-25,51
France,2020-02-25,14
US,2020-02-25,51
US,2020-02-25,51
France,2020-02-25,14
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
US,2020-02-25,51
Germany,2020-02-26,27
Iran,2020-02-26,139
Italy,2020-02-26,453
"Korea, South",2020-02-26,1261
Spain,2020-02-26,13
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,51
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
France,2020-02-26,18
France,2020-02-26,18
France,2020-02-26,18
US,2020-02-26,57
US,2020-02-26,57
France,2020-02-26,18
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
France,2020-02-26,18
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
France,2020-02-26,18
US,2020-02-26,57
France,2020-02-26,18
US,2020-02-26,57
US,2020-02-26,57
France,2020-02-26,18
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
US,2020-02-26,57
Germany,2020-02-27,46
Iran,2020-02-27,245
Italy,2020-02-27,655
"Korea, South",2020-02-27,1766
Spain,2020-02-27,15
US,2020-02-27,57
US,2020-02-27,57
US,2020-02-27,57
US,2020-02-27,57
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
France,2020-02-27,38
France,2020-02-27,38
France,2020-02-27,38
US,2020-02-27,58
US,2020-02-27,58
France,2020-02-27,38
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
France,2020-02-27,38
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
France,2020-02-27,38
US,2020-02-27,58
France,2020-02-27,38
US,2020-02-27,58
US,2020-02-27,58
France,2020-02-27,38
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
US,2020-02-27,58
Germany,2020-02-28,48
Iran,2020-02-28,388
Italy,2020-02-28,888
"Korea, South",2020-02-28,2337
Spain,2020-02-28,32
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,58
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
France,2020-02-28,57
France,2020-02-28,57
France,2020-02-28,57
US,2020-02-28,60
US,2020-02-28,60
France,2020-02-28,57
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
France,2020-02-28,57
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
France,2020-02-28,57
US,2020-02-28,60
France,2020-02-28,57
US,2020-02-28,60
US,2020-02-28,60
France,2020-02-28,57
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
US,2020-02-28,60
Germany,2020-02-29,79
Iran,2020-02-29,593
Italy,2020-02-29,1128
"Korea, South",2020-02-29,3150
Spain,2020-02-29,45
US,2020-02-29,60
US,2020-02-29,60
US,2020-02-29,60
US,2020-02-29,60
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
France,2020-02-29,100
France,2020-02-29,100
France,2020-02-29,100
US,2020-02-29,61
US,2020-02-29,61
France,2020-02-29,100
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
France,2020-02-29,100
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,61
US,2020-02-29,62
US,2020-02-29,62
US,2020-02-29,62
France,2020-02-29,100
US,2020-02-29,62
France,2020-02-29,100
US,2020-02-29,62
US,2020-02-29,62
France,2020-02-29,100
US,2020-02-29,62
US,2020-02-29,62
US,2020-02-29,62
US,2020-02-29,62
US,2020-02-29,62
US,2020-02-29,62
US,2020-02-29,68
US,2020-02-29,68
US,2020-02-29,68
US,2020-02-29,68
US,2020-02-29,68
Germany,2020-03-01,130
Iran,2020-03-01,978
Italy,2020-03-01,1694
"Korea, South",2020-03-01,3736
Spain,2020-03-01,84
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
France,2020-03-01,130
France,2020-03-01,130
France,2020-03-01,130
US,2020-03-01,68
US,2020-03-01,68
France,2020-03-01,130
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,68
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
France,2020-03-01,130
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
US,2020-03-01,69
France,2020-03-01,130
US,2020-03-01,70
France,2020-03-01,130
US,2020-03-01,70
US,2020-03-01,70
France,2020-03-01,130
US,2020-03-01,70
US,2020-03-01,70
US,2020-03-01,70
US,2020-03-01,70
US,2020-03-01,70
US,2020-03-01,70
US,2020-03-01,74
US,2020-03-01,74
US,2020-03-01,74
US,2020-03-01,74
US,2020-03-01,74
Germany,2020-03-02,159
Iran,2020-03-02,1501
Italy,2020-03-02,2036
"Korea, South",2020-03-02,4335
Spain,2020-03-02,120
US,2020-03-02,74
US,2020-03-02,74
US,2020-03-02,74
US,2020-03-02,74
US,2020-03-02,83
US,2020-03-02,83
US,2020-03-02,83
US,2020-03-02,83
US,2020-03-02,84
US,2020-03-02,84
US,2020-03-02,85
France,2020-03-02,191
France,2020-03-02,191
France,2020-03-02,191
US,2020-03-02,85
US,2020-03-02,85
France,2020-03-02,191
US,2020-03-02,85
US,2020-03-02,85
US,2020-03-02,85
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
France,2020-03-02,191
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,86
US,2020-03-02,87
US,2020-03-02,87
US,2020-03-02,87
US,2020-03-02,88
US,2020-03-02,88
US,2020-03-02,88
US,2020-03-02,88
US,2020-03-02,88
US,2020-03-02,90
US,2020-03-02,90
US,2020-03-02,90
France,2020-03-02,191
US,2020-03-02,91
France,2020-03-02,191
US,2020-03-02,91
US,2020-03-02,91
France,2020-03-02,191
US,2020-03-02,91
US,2020-03-02,91
US,2020-03-02,91
US,2020-03-02,91
US,2020-03-02,91
US,2020-03-02,91
US,2020-03-02,98
US,2020-03-02,98
US,2020-03-02,98
US,2020-03-02,98
US,2020-03-02,98
Germany,2020-03-03,196
Iran,2020-03-03,2336
Italy,2020-03-03,2502
"Korea, South",2020-03-03,5186
Spain,2020-03-03,165
US,2020-03-03,98
US,2020-03-03,98
US,2020-03-03,98
US,2020-03-03,98
US,2020-03-03,102
US,2020-03-03,102
US,2020-03-03,102
US,2020-03-03,102
US,2020-03-03,102
US,2020-03-03,102
US,2020-03-03,103
France,2020-03-03,204
France,2020-03-03,204
France,2020-03-03,204
US,2020-03-03,105
US,2020-03-03,105
France,2020-03-03,204
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,105
US,2020-03-03,106
France,2020-03-03,204
US,2020-03-03,106
US,2020-03-03,106
US,2020-03-03,106
US,2020-03-03,106
US,2020-03-03,106
US,2020-03-03,106
US,2020-03-03,106
US,2020-03-03,107
US,2020-03-03,107
US,2020-03-03,107
US,2020-03-03,108
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
France,2020-03-03,204
US,2020-03-03,109
France,2020-03-03,204
US,2020-03-03,109
US,2020-03-03,109
France,2020-03-03,204
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,109
US,2020-03-03,118
US,2020-03-03,118
US,2020-03-03,118
US,2020-03-03,118
US,2020-03-03,118
Germany,2020-03-04,262
Iran,2020-03-04,2922
Italy,2020-03-04,3089
